Code,Type,Resource,Unit,Base rate GBP,Factor,Rate EUR,Scope,Used on,Source group
M069,Material,bend; 1200 mm dia.; <45 deg,nr,4366.2,1.0,5105.8343,Shared,1,Bends
M070,Material,bend; 1500 mm dia.; <45 deg,nr,7733.06,1.0,9043.0404,Shared,1,Bends
M071,Material,bend; 1800 mm dia.; <45 deg,nr,10756.12,1.0,12578.2067,Shared,1,Bends
M072,Material,bend; 2100 mm dia.; <45 deg,nr,12946.25,1.0,15139.3448,Shared,1,Bends
M073,Material,70 mm dia.,m,33.22,1.0,38.8475,Shared,0,Cast Iron Pipes and Fittings; Cast iron drain BS EN 877; plain end
M074,Material,250 mm dia.,m,153.55,1.0,179.5614,Shared,20,Cast Iron Pipes and Fittings; Cast iron drain BS EN 877; plain end
M075,Material,70 mm dia.,nr,31.24,1.0,36.5321,Shared,0,Cast iron couplings complete with stainless steel nuts and bolts and synthetic rubber gaskets (continued)
M076,Material,100 mm dia.,nr,39.91,1.0,46.6708,Shared,0,Cast iron couplings complete with stainless steel nuts and bolts and synthetic rubber gaskets (continued)
M077,Material,150 mm dia.,nr,68.83,1.0,80.4898,Shared,0,Cast iron couplings complete with stainless steel nuts and bolts and synthetic rubber gaskets (continued)
M078,Material,250 mm dia.,nr,283.295,1.0,331.2852,Shared,1,Cast iron couplings complete with stainless steel nuts and bolts and synthetic rubber gaskets (continued)
M079,Material,70 x 70 mm dia.,nr,38.94,1.0,45.5364,Shared,0,Single junction x 45 deg
M080,Material,100 x 100 mm dia.,nr,58.25,1.0,68.1175,Shared,0,Single junction x 45 deg
M081,Material,150 x 150 mm dia.,nr,136.94,1.0,160.1376,Shared,0,Single junction x 45 deg
M082,Material,250 x 250 mm dia.,nr,840.99,1.0,983.4537,Shared,0,Single junction x 45 deg
M083,Material,Clay road gully; 450 mm dia. x 900 mm deep,nr,761.59,1.0,890.6033,Shared,17,Vitrified clay road gullies etc.
M084,Material,C.I. gully grating and frame; 434 x 434 mm to clay,nr,108.76,1.0,127.1839,Shared,0,Vitrified clay road gullies etc.
M085,Material,Clay yard gully; 225 mm dia.; including grating,nr,696.78,1.0,814.8145,Shared,1,Vitrified clay road gullies etc.
M086,Material,Clay grease interceptor; 600 x 450 mm,nr,3768.79,1.0,4407.223,Shared,2,Vitrified clay road gullies etc.
M087,Material,1.6 mm thick; 1000 mm dia.,m,172.51,1.0,201.7332,Shared,10,Culvert; Corrugated steel
M088,Material,2.0 mm thick; 1600 mm dia.,m,275.16,1.0,321.7721,Shared,0,Culvert; Corrugated steel
M089,Material,2.0 mm thick; 2000 mm dia.,m,594.72,1.0,695.4656,Shared,0,Culvert; Corrugated steel
M090,Material,2.0 mm thick; 2200 mm dia.,m,671,1.0,784.6674,Shared,0,Culvert; Corrugated steel
M091,Material,Common bricks; PC £ per thousand,1000,589.57,1.0,689.4432,Shared,0,Clay bricks
M092,Material,Facing bricks; PC £ per thousand,1000,971.91,1.0,1136.5516,Shared,0,Clay bricks
M093,Material,Class A engineering bricks; PC £ per thousand,1000,795.26,1.0,929.977,Shared,0,Clay bricks
M094,Material,Class B engineering bricks; PC £ per thousand,1000,741.6,1.0,867.227,Shared,0,Clay bricks
M095,Material,solid; 3.5 N/mm2; 100 mm thick,m2,17.78,1.0,20.7919,Shared,6,Concrete blocks to BS EN 771-3; Lightweight
M096,Material,solid; 3.5 N/mm2; 140 mm thick,m2,21.95,1.0,25.6683,Shared,6,Concrete blocks to BS EN 771-3; Lightweight
M097,Material,solid 3.5 N/mm2; 215 mm thick,m2,31.63,1.0,36.9881,Shared,13,Concrete blocks to BS EN 771-3; Lightweight
M098,Material,solid 7 N/mm2; 100 mm thick,m2,10.84,1.0,12.6763,Shared,0,Dense
M099,Material,solid 7 N/mm2; 140 mm thick,m2,17.43,1.0,20.3826,Shared,0,Dense
M100,Material,solid 7 N/mm2; 215 mm thick,m2,21.84,1.0,25.5397,Shared,0,Dense
M101,Material,Designed Concrete; Strength; C12/15,m3,156.94,1.0,183.5256,Shared,1,CLASS F: IN SITU CONCRETE
M102,Material,Designed Concrete; Strength; C16/20,m3,158.87,1.0,185.7826,Shared,2,CLASS F: IN SITU CONCRETE
M103,Material,Designed Concrete; Strength; C20/25,m3,160.92,1.0,188.1798,Shared,2,CLASS F: IN SITU CONCRETE
M104,Material,Designed Concrete; Strength; C25/30,m3,162.88,1.0,190.4719,Shared,1,CLASS F: IN SITU CONCRETE
M105,Material,Designed Concrete; Strength; C32/40,m3,164.88,1.0,192.8107,Shared,3,CLASS F: IN SITU CONCRETE
M106,Material,Designed Concrete; Strength; RCC8/10,m3,177.09,1.0,207.089,Shared,1,CLASS F: IN SITU CONCRETE
M107,Material,Designed Concrete; Strength; RC25/30,m3,179.02,1.0,209.346,Shared,0,CLASS F: IN SITU CONCRETE
M108,Material,Designed Concrete; Strength; RC30/37,m3,181.07,1.0,211.7433,Shared,0,CLASS F: IN SITU CONCRETE
M109,Material,Designed Concrete; Strength; RC32/40,m3,183.02,1.0,214.0236,Shared,0,CLASS F: IN SITU CONCRETE
M110,Material,Designed Concrete; Strength; RC40/50,m3,185.03,1.0,216.3741,Shared,0,CLASS F: IN SITU CONCRETE
M111,Material,Designed mix; sulphate-resisting cement to BS 4027; Grade C7.5; 10 mm aggregate,m3,170.21,1.0,199.0436,Shared,16,CLASS F: IN SITU CONCRETE
M112,Material,Designed mix; sulphate-resisting cement to BS 4027; Grade C7.5; 20 mm aggregate,m3,156.61,1.0,183.1397,Shared,0,CLASS F: IN SITU CONCRETE
M113,Material,Designed mix; sulphate-resisting cement to BS 4027; Grade C7.5; 40 mm aggregate,m3,154.57,1.0,180.7542,Shared,0,CLASS F: IN SITU CONCRETE
M114,Material,Designed mix; sulphate-resisting cement to BS 4027; Grade C10; 10 mm aggregate,m3,170.53,1.0,199.4178,Shared,0,CLASS F: IN SITU CONCRETE
M115,Material,Designed mix; sulphate-resisting cement to BS 4027; Grade C10 (continued); 20 mm aggregate,m3,159.85,1.0,186.9286,Shared,2,CLASS F: IN SITU CONCRETE
