Item ref,Class,Section,Sub-heading,Item,Item unit,Line,Type,Code,Resource,Qty,Qty unit,Rate EUR,Line cost EUR,Crew / spread
128,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,5,Plant,P045,8 tonne wheeled backacter,0.705061,hr,84.6646,59.69,Plant Resources Build-up Rate; Trial holes
128,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,6,Plant,P028,3 tonne dumper,0.705061,hr,24.6393,17.37,Plant Resources Build-up Rate; Trial holes
128,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,7,Plant,P031,"3.7 m3/min compressor, 2 tool",0.705061,hr,24.8147,17.5,Plant Resources Build-up Rate; Trial holes
128,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,8,Plant,P021,2.4 m3/min road breakers,1.410121,hr,9.706,13.69,Plant Resources Build-up Rate; Trial holes
128,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,9,Plant,P067,extra 50 ft / 15 m hose,0.705061,hr,0.6198,0.44,Plant Resources Build-up Rate; Trial holes
128,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,10,Plant,P079,plate compactors; vibrating compaction; plate 180 kg/ 600 mm,0.705061,hr,5.7534,4.06,Plant Resources Build-up Rate; Trial holes
129,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",1.0-2.0 m deep,nr,1,Labour,L011,ganger/chargehand (skill rate 4),0.462879,hr,49.2431,22.79,Labour Gang Build-up Rate; Trial hole gang
129,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",1.0-2.0 m deep,nr,2,Labour,L019,skilled operative (skill rate 4),0.462879,hr,46.2624,21.41,Labour Gang Build-up Rate; Trial hole gang
129,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",1.0-2.0 m deep,nr,3,Labour,L023,unskilled operative (general),0.925758,hr,38.7141,35.84,Labour Gang Build-up Rate; Trial hole gang
129,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",1.0-2.0 m deep,nr,4,Labour,L016,plant operator (skill rate 3),0.462879,hr,61.1185,28.29,Labour Gang Build-up Rate; Trial hole gang
129,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",1.0-2.0 m deep,nr,5,Plant,P045,8 tonne wheeled backacter,1.006289,hr,84.6646,85.2,Plant Resources Build-up Rate; Trial holes
129,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",1.0-2.0 m deep,nr,6,Plant,P028,3 tonne dumper,1.006289,hr,24.6393,24.79,Plant Resources Build-up Rate; Trial holes
129,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",1.0-2.0 m deep,nr,7,Plant,P031,"3.7 m3/min compressor, 2 tool",1.006289,hr,24.8147,24.97,Plant Resources Build-up Rate; Trial holes
129,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",1.0-2.0 m deep,nr,8,Plant,P021,2.4 m3/min road breakers,2.012579,hr,9.706,19.53,Plant Resources Build-up Rate; Trial holes
129,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",1.0-2.0 m deep,nr,9,Plant,P067,extra 50 ft / 15 m hose,1.006289,hr,0.6198,0.62,Plant Resources Build-up Rate; Trial holes
129,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",1.0-2.0 m deep,nr,10,Plant,P079,plate compactors; vibrating compaction; plate 180 kg/ 600 mm,1.006289,hr,5.7534,5.79,Plant Resources Build-up Rate; Trial holes
130,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,1,Labour,L011,ganger/chargehand (skill rate 4),0.52642,hr,49.2431,25.92,Labour Gang Build-up Rate; Trial hole gang
130,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,2,Labour,L019,skilled operative (skill rate 4),0.52642,hr,46.2624,24.35,Labour Gang Build-up Rate; Trial hole gang
130,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,3,Labour,L023,unskilled operative (general),1.052839,hr,38.7141,40.76,Labour Gang Build-up Rate; Trial hole gang
130,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,4,Labour,L016,plant operator (skill rate 3),0.52642,hr,61.1185,32.17,Labour Gang Build-up Rate; Trial hole gang
